tag,peak_idx,bw_used,prob_est,S_hat,theta_deg,rho,P_err_MAE,status
110,5,0.3,0.112,"[44.9934, 86.1061, 0.0000, 0.5047]","[44.9934, 86.1061, 0.0000]",0.5047079920768738,0.0009881426261249147,PASS
110,1,0.3,0.16,"[57.0334, 86.3205, 0.0000, 0.5055]","[57.0334, 86.3205, 0.0000]",0.5054685473442078,0.001530286134245557,PASS
110,0,0.3,0.37333333333333335,"[78.9194, 78.8709, 0.0000, 0.5029]","[78.9194, 78.8709, 0.0000]",0.502854585647583,0.0016049391643244426,PASS
111,3,0.7,0.138,"[48.5652, 78.3816, 38.6144, 0.5054]","[48.5652, 78.3816, 38.6144]",0.5053757429122925,0.001713528242986891,PASS
110,4,0.3,0.11333333333333333,"[32.3726, 86.1224, 0.0000, 0.5019]","[32.3726, 86.1224, 0.0000]",0.5019279718399048,0.002046509324668883,PASS
010,0,0.1,1.0,"[0.0000, 87.2090, 0.0000, 0.5059]","[0.0000, 87.2090, 0.0000]",0.5059016346931458,0.0022145661387235832,PASS
111,0,0.7,0.26266666666666666,"[64.3070, 71.1339, 36.6439, 0.5072]","[64.3070, 71.1339, 36.6439]",0.507205605506897,0.0024768557093285464,PASS
110,2,0.3,0.12733333333333333,"[83.5151, 54.4370, 0.0000, 0.5012]","[83.5151, 54.4370, 0.0000]",0.5011904239654541,0.0026714138820601555,PASS
110,3,0.3,0.114,"[84.1824, 45.8253, 0.0000, 0.5010]","[84.1824, 45.8253, 0.0000]",0.5009958148002625,0.002820806301451364,PASS
011,1,0.3,0.15266666666666667,"[0.0000, 89.2851, 65.3953, 0.5034]","[0.0000, 89.2851, 65.3953]",0.5033737421035767,0.002836766072096933,PASS
011,0,0.3,0.27266666666666667,"[0.0000, 82.8080, 82.0825, 0.5041]","[0.0000, 82.8080, 82.0825]",0.5041221380233765,0.0029396812244877274,PASS
101,0,0.3,0.30133333333333334,"[89.7243, 0.0000, 82.6513, 0.5028]","[89.7243, 0.0000, 82.6513]",0.5027777552604675,0.00312675449531301,PASS
111,2,0.7,0.18866666666666668,"[46.7969, 73.1680, 53.9869, 0.5074]","[46.7969, 73.1680, 53.9869]",0.5073791146278381,0.0034267594965549037,PASS
100,0,0.1,1.0,"[88.4323, 0.0000, 0.0000, 0.5052]","[88.4323, 0.0000, 0.0000]",0.50522780418396,0.003436141812110904,PASS
111,1,0.7,0.21066666666666667,"[68.6798, 49.6107, 64.2577, 0.5081]","[68.6798, 49.6107, 64.2577]",0.5081127285957336,0.004050911970219506,PASS
111,4,0.7,0.13266666666666665,"[52.8917, 57.0356, 75.4011, 0.5074]","[52.8917, 57.0356, 75.4011]",0.50743168592453,0.0042387783599709405,PASS
101,1,0.3,0.21266666666666667,"[76.3171, 0.0000, 88.9181, 0.5096]","[76.3171, 0.0000, 88.9181]",0.5095532536506653,0.004286920700419108,PASS
011,2,0.3,0.14933333333333335,"[0.0000, 70.4901, 87.4820, 0.5090]","[0.0000, 70.4901, 87.4820]",0.5090253949165344,0.004301893056049771,PASS
