tag,peak_idx,bw_used,prob_est,S_hat,theta_deg,rho,P_err_MAE,status
011,3,0.2,0.106,"[0.0000, 57.8521, 85.1374, 0.5047]","[0.0000, 57.8521, 85.1374]",0.504667341709137,0.0011344889411951725,PASS
011,2,0.2,0.11866666666666667,"[0.0000, 79.1124, 78.9574, 0.5045]","[0.0000, 79.1124, 78.9574]",0.5045215487480164,0.0013818672573856802,PASS
111,2,0.6,0.11266666666666666,"[47.7708, 60.4114, 58.8281, 0.5052]","[47.7708, 60.4114, 58.8281]",0.5051900148391724,0.001410758764291978,PASS
111,0,0.6,0.314,"[27.8905, 62.7265, 72.3533, 0.5029]","[27.8905, 62.7265, 72.3533]",0.5029257535934448,0.0014591766135317473,PASS
011,1,0.2,0.14066666666666666,"[0.0000, 73.5406, 82.3311, 0.5025]","[0.0000, 73.5406, 82.3311]",0.5025261044502258,0.0017315865827895276,PASS
011,0,0.2,0.148,"[0.0000, 82.4328, 73.7830, 0.5070]","[0.0000, 82.4328, 73.7830]",0.5069639682769775,0.002057732358100047,PASS
001,0,0.1,1.0,"[0.0000, 0.0000, 87.0610, 0.5024]","[0.0000, 0.0000, 87.0610]",0.5023609399795532,0.0023044454961602926,PASS
101,1,0.3,0.16,"[89.7478, 0.0000, 55.0555, 0.5038]","[89.7478, 0.0000, 55.0555]",0.5037500858306885,0.0027606252776078144,PASS
101,2,0.3,0.132,"[65.9838, 0.0000, 89.4291, 0.5035]","[65.9838, 0.0000, 89.4291]",0.5035097599029541,0.0028192497571135652,PASS
101,0,0.3,0.30866666666666664,"[82.5155, 0.0000, 84.3272, 0.5003]","[82.5155, 0.0000, 84.3272]",0.5002974271774292,0.003413105679695978,PASS
110,0,0.3,0.4146666666666667,"[85.3295, 89.6541, 0.0000, 0.5080]","[85.3295, 89.6541, 0.0000]",0.5079643130302429,0.0034241219433958268,PASS
010,0,0.1,1.0,"[0.0000, 87.8618, 0.0000, 0.5051]","[0.0000, 87.8618, 0.0000]",0.5051223635673523,0.003700206117469367,PASS
111,1,0.6,0.12866666666666668,"[51.6967, 37.9355, 74.6593, 0.5089]","[51.6967, 37.9355, 74.6593]",0.5088639259338379,0.004375883944115533,PASS
