colum_000001_1,0.72869146,37.972996,35.85124,0.0,0.5474561,0.18931314,0.21942912,0.0026336994,0.0008953692,-0.0007862479,0.5822626,0.22591017,0.00015840615,0.00091936777,-0.0016930987,0.76471186,0.00034985028,0.002340404,-0.0030503501,0.3256602,-0.00085101416,0.0016016237,0.39934298,0.0003672301,0.41271237,110
colum_000001_6,0.72869146,35.85124,37.972996,0.0,0.5822626,0.18931314,0.22591017,0.00015840615,-0.0016930987,0.00091936777,0.5474561,0.21942912,0.0026336994,-0.0007862479,0.0008953692,0.76471186,0.00034985028,-0.0030503501,0.002340404,0.3256602,0.0016016237,-0.00085101416,0.41271237,0.0003672301,0.39934298,110
colum_000002_1,0.9879763,84.79448,75.09224,0.0,1.3092215,0.5562104,0.556489,-0.00012502917,-0.00042504584,-2.2944527e-05,1.3090117,0.5564223,-0.000110511915,-0.00022149523,-5.521543e-05,1.3100647,-7.011569e-05,-0.00044236472,-7.170035e-05,0.7518469,-1.2256394e-05,-0.0001907247,0.75221515,-6.6146175e-05,0.75211936,110
colum_000002_6,0.9879763,75.09224,84.79448,0.0,1.3090117,0.5562104,0.5564223,-0.000110511915,-5.521543e-05,-0.00022149523,1.3092215,0.556489,-0.00012502917,-2.2944527e-05,-0.00042504584,1.3100647,-7.011569e-05,-7.170035e-05,-0.00044236472,0.7518469,-0.0001907247,-1.2256394e-05,0.75211936,-6.6146175e-05,0.75221515,110
colum_000003_1,0.40051988,76.2373,76.06779,0.0,0.13505523,0.044171933,0.045878995,-0.0018096628,-0.0031454423,-0.0006818715,0.14001419,0.047416367,-0.0024741637,2.4032375e-05,-0.0029024184,0.147685,0.00012119174,-0.0036629948,-0.0015628344,0.091043815,-0.0013635643,-0.00019040113,0.09598406,1.4356468e-05,0.09892352,110
colum_000003_6,0.40051988,76.06779,76.2373,0.0,0.14001419,0.044171933,0.047416367,-0.0024741637,-0.0029024184,2.4032375e-05,0.13505523,0.045878995,-0.0018096628,-0.0006818715,-0.0031454423,0.147685,0.00012119174,-0.0015628344,-0.0036629948,0.091043815,-0.00019040113,-0.0013635643,0.09892352,1.4356468e-05,0.09598406,110
colum_000004_1,0.7329418,47.926846,22.243084,0.0,0.4964517,0.19837475,0.21275271,-0.0014239837,0.00064375956,-0.0005405979,0.66245306,0.242863,-0.0030511878,-0.0006000319,0.00042495716,0.75404036,-0.00053178624,-0.00091231486,-0.0011580596,0.34522069,-0.0011684133,-0.0006868856,0.3799982,-0.00025022525,0.44469428,110
colum_000004_6,0.7329418,22.243084,47.926846,0.0,0.66245306,0.19837475,0.242863,-0.0030511878,0.00042495716,-0.0006000319,0.4964517,0.21275271,-0.0014239837,-0.0005405979,0.00064375956,0.75404036,-0.00053178624,-0.0011580596,-0.00091231486,0.34522069,-0.0006868856,-0.0011684133,0.44469428,-0.00025022525,0.3799982,110
colum_000005_1,0.6281906,55.7232,29.628101,0.0,0.34621495,0.12977472,0.14979076,0.009326805,5.4136603e-05,0.0021774906,0.42328882,0.15398167,0.010598137,-0.0001878183,-0.001958652,0.55533737,0.0035295184,0.0039827796,-0.0004576868,0.24003857,0.002937972,0.0010042525,0.2931261,0.0058894153,0.30674672,110
colum_000005_6,0.6281906,29.628101,55.7232,0.0,0.42328882,0.12977472,0.15398167,0.010598137,-0.001958652,-0.0001878183,0.34621495,0.14979076,0.009326805,0.0021774906,5.4136603e-05,0.55533737,0.0035295184,-0.0004576868,0.0039827796,0.24003857,0.0010042525,0.002937972,0.30674672,0.0058894153,0.2931261,110
colum_000006_1,0.9227567,52.927185,45.068256,0.0,1.0899909,0.440966,0.45179832,0.0013667988,-0.000278347,1.46878065e-05,1.0950458,0.45232743,0.0012137305,-0.0001495661,0.00020955635,1.1454479,0.000505863,-0.0006121932,0.0003707473,0.64463395,5.868816e-06,-0.00017331316,0.661863,0.00046103142,0.66192615,110
colum_000006_6,0.9227567,45.068256,52.927185,0.0,1.0950458,0.440966,0.45232743,0.0012137305,0.00020955635,-0.0001495661,1.0899909,0.45179832,0.0013667988,1.46878065e-05,-0.000278347,1.1454479,0.000505863,0.0003707473,-0.0006121932,0.64463395,-0.00017331316,5.868816e-06,0.66192615,0.00046103142,0.661863,110
colum_000007_1,0.5369521,69.30404,68.933304,0.0,0.29345885,0.09583594,0.10349917,-0.00061149464,0.0066577955,0.00076527515,0.28448358,0.10233592,-0.0022285345,0.0015205053,0.00025393322,0.32474774,-0.00043594994,0.007840964,0.0011253465,0.19106178,0.00089467183,0.003143358,0.21094657,-0.0013990969,0.20769002,110
colum_000007_6,0.5369521,68.933304,69.30404,0.0,0.28448358,0.09583594,0.10233592,-0.0022285345,0.00025393322,0.0015205053,0.29345885,0.10349917,-0.00061149464,0.00076527515,0.0066577955,0.32474774,-0.00043594994,0.0011253465,0.007840964,0.19106178,0.003143358,0.00089467183,0.20769002,-0.0013990969,0.21094657,110
colum_000008_1,0.32388404,40.01989,33.142952,0.0,0.04999171,0.015719915,0.026663568,0.0016815378,-0.00045782642,-0.00082053046,0.05911245,0.027388664,0.0024712633,-0.00032169654,-0.0014270218,0.16262154,0.0007689104,-0.0007696351,-0.0073081045,0.029334435,-0.0013095454,-0.00037806912,0.05418627,0.002096604,0.058502123,110
colum_000008_6,0.32388404,33.142952,40.01989,0.0,0.05911245,0.015719915,0.027388664,0.0024712633,-0.0014270218,-0.00032169654,0.04999171,0.026663568,0.0016815378,-0.00082053046,-0.00045782642,0.16262154,0.0007689104,-0.0073081045,-0.0007696351,0.029334435,-0.00037806912,-0.0013095454,0.058502123,0.002096604,0.05418627,110
colum_000009_1,0.49752656,67.660706,62.011497,0.0,0.22859107,0.075690314,0.08586869,-0.0015323746,0.005112704,0.00042761516,0.22779407,0.08482949,-0.0002231463,0.00023202147,-0.0019977053,0.2831647,-0.00077684957,0.006948096,-0.003942462,0.15089768,-0.00036079175,0.0009767172,0.17761189,-0.00095166994,0.17565413,110
colum_000009_6,0.49752656,62.011497,67.660706,0.0,0.22779407,0.075690314,0.08482949,-0.0002231463,-0.0019977053,0.00023202147,0.22859107,0.08586869,-0.0015323746,0.00042761516,0.005112704,0.2831647,-0.00077684957,-0.003942462,0.006948096,0.15089768,0.0009767172,-0.00036079175,0.17565413,-0.00095166994,0.17761189,110
colum_000010_1,0.94548863,88.20434,33.124557,0.0,1.1780868,0.48581022,0.4853713,0.0012111687,-0.0004984804,0.0003663803,1.1812091,0.48600605,0.0016323578,-0.00027193036,0.0007017703,1.1793841,0.00059121865,-0.0005788717,0.0009041892,0.6906556,0.00034419892,-0.0002976246,0.69007814,0.0005659502,0.69088644,110
colum_000010_6,0.94548863,33.124557,88.20434,0.0,1.1812091,0.48581022,0.48600605,0.0016323578,0.0007017703,-0.00027193036,1.1780868,0.4853713,0.0012111687,0.0003663803,-0.0004984804,1.1793841,0.00059121865,0.0009041892,-0.0005788717,0.6906556,-0.0002976246,0.00034419892,0.69088644,0.0005659502,0.69007814,110
colum_000011_1,0.48756087,79.87946,30.14525,0.0,0.2194188,0.07419061,0.079693146,-0.0031441327,0.0028660027,-0.00056988746,0.2320708,0.07708178,-0.0030324063,0.00057543494,-0.0016255681,0.25930518,-0.00042047448,0.0017273449,-0.0015662091,0.15000342,-0.0013982003,0.0010141585,0.16459863,-0.0009530465,0.16069748,110
